letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;tmdb_id;release_year;duration;avg_rating;letterboxd_url;tmdb_url;imdb_url
682547;Nope;Nope (2022);nope;762504;2022;130;3.7;https://letterboxd.com/film/nope/;https://www.themoviedb.org/movie/762504/;http://www.imdb.com/title/tt10954984/maindetails
916351;How to Change Your Mind;How to Change Your Mind (2022);how-to-change-your-mind;204304;2022;-1;3.87;https://letterboxd.com/film/how-to-change-your-mind/;https://www.themoviedb.org/tv/204304/;http://www.imdb.com/title/tt21062540/maindetails
885569;Good Boy;Good Boy (2022);good-boy-2022;983507;2022;80;2.41;https://letterboxd.com/film/good-boy-2022/;https://www.themoviedb.org/movie/983507/;http://www.imdb.com/title/tt19705884/maindetails
800848;Holy Spider;Holy Spider (2022);holy-spider;889699;2022;118;3.61;https://letterboxd.com/film/holy-spider/;https://www.themoviedb.org/movie/889699/;http://www.imdb.com/title/tt18550140/maindetails
882450;Top Gunner: Danger Zone;Top Gunner: Danger Zone (2022);top-gunner-danger-zone;980083;2022;86;-1.0;https://letterboxd.com/film/top-gunner-danger-zone/;https://www.themoviedb.org/movie/980083/;http://www.imdb.com/title/tt20726444/maindetails
293465;Top Gun: Maverick;Top Gun: Maverick (2022);top-gun-maverick;361743;2022;131;3.98;https://letterboxd.com/film/top-gun-maverick/;https://www.themoviedb.org/movie/361743/;http://www.imdb.com/title/tt1745960/maindetails
385511;Doctor Strange in the Multiverse of Madness;Doctor Strange in the Multiverse of Madness (2022);doctor-strange-in-the-multiverse-of-madness;453395;2022;126;2.95;https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/;https://www.themoviedb.org/movie/453395/;http://www.imdb.com/title/tt9419884/maindetails
565852;The Northman;The Northman (2022);the-northman;639933;2022;137;3.79;https://letterboxd.com/film/the-northman/;https://www.themoviedb.org/movie/639933/;http://www.imdb.com/title/tt11138512/maindetails
508037;RRR;RRR (2022);rrr;579974;2022;185;4.2;https://letterboxd.com/film/rrr/;https://www.themoviedb.org/movie/579974/;http://www.imdb.com/title/tt8178634/maindetails
449442;Bodies Bodies Bodies;Bodies Bodies Bodies (2022);bodies-bodies-bodies;520023;2022;94;3.3;https://letterboxd.com/film/bodies-bodies-bodies/;https://www.themoviedb.org/movie/520023/;http://www.imdb.com/title/tt8110652/maindetails
680358;X;X (2022);x-2022;760104;2022;106;3.41;https://letterboxd.com/film/x-2022/;https://www.themoviedb.org/movie/760104/;http://www.imdb.com/title/tt13560574/maindetails
574385;The Unbearable Weight of Massive Talent;The Unbearable Weight of Massive Talent (2022);the-unbearable-weight-of-massive-talent;648579;2022;107;3.43;https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/;https://www.themoviedb.org/movie/648579/;http://www.imdb.com/title/tt11291274/maindetails
474474;Everything Everywhere All at Once;Everything Everywhere All at Once (2022);everything-everywhere-all-at-once;545611;2022;140;4.29;https://letterboxd.com/film/everything-everywhere-all-at-once/;https://www.themoviedb.org/movie/545611/;http://www.imdb.com/title/tt6710474/maindetails
620665;The Adam Project;The Adam Project (2022);the-adam-project;696806;2022;106;2.93;https://letterboxd.com/film/the-adam-project/;https://www.themoviedb.org/movie/696806/;http://www.imdb.com/title/tt2463208/maindetails
833919;Restless;Restless (2022);restless-2022;928381;2022;95;2.57;https://letterboxd.com/film/restless-2022/;https://www.themoviedb.org/movie/928381/;http://www.imdb.com/title/tt14465894/maindetails
348914;The Batman;The Batman (2022);the-batman;414906;2022;177;3.99;https://letterboxd.com/film/the-batman/;https://www.themoviedb.org/movie/414906/;http://www.imdb.com/title/tt1877830/maindetails
819863;Fire of Love;Fire of Love (2022);fire-of-love-2022;913823;2022;93;4.1;https://letterboxd.com/film/fire-of-love-2022/;https://www.themoviedb.org/movie/913823/;http://www.imdb.com/title/tt16227014/maindetails
560787;Spider-Man: No Way Home;Spider-Man: No Way Home (2021);spider-man-no-way-home;634649;2021;148;3.84;https://letterboxd.com/film/spider-man-no-way-home/;https://www.themoviedb.org/movie/634649/;http://www.imdb.com/title/tt10872600/maindetails
466291;tick, tick... BOOM!;tick, tick... BOOM! (2021);tick-tick-boom-2021;537116;2021;115;3.83;https://letterboxd.com/film/tick-tick-boom-2021/;https://www.themoviedb.org/movie/537116/;http://www.imdb.com/title/tt8721424/maindetails
792980;The Raincoat Killer: Chasing a Predator in Korea;The Raincoat Killer: Chasing a Predator in Korea (2021);the-raincoat-killer-chasing-a-predator-in-korea;134902;2021;159;3.12;https://letterboxd.com/film/the-raincoat-killer-chasing-a-predator-in-korea/;https://www.themoviedb.org/tv/134902/;http://www.imdb.com/title/tt15484900/maindetails
454016;Eternals;Eternals (2021);eternals;524434;2021;156;2.72;https://letterboxd.com/film/eternals/;https://www.themoviedb.org/movie/524434/;http://www.imdb.com/title/tt9032400/maindetails
305964;No Time to Die;No Time to Die (2021);no-time-to-die-2021;370172;2021;163;3.5;https://letterboxd.com/film/no-time-to-die-2021/;https://www.themoviedb.org/movie/370172/;http://www.imdb.com/title/tt2382320/maindetails
774923;Midnight Mass;Midnight Mass (2021);midnight-mass-2021;97400;2021;448;4.04;https://letterboxd.com/film/midnight-mass-2021/;https://www.themoviedb.org/tv/97400/;http://www.imdb.com/title/tt10574558/maindetails
787181;Squid Game;Squid Game (2021);squid-game;93405;2021;495;3.72;https://letterboxd.com/film/squid-game/;https://www.themoviedb.org/tv/93405/;http://www.imdb.com/title/tt10919420/maindetails
