name;link;character_name;film_id;film_title
Jason Yeboa;/actor/jason-yeboa/;Drummer;508037;RRR
Vedala Hemachandra;/actor/vedala-hemachandra/;Alluri Venkatarama Raju (Voice);508037;RRR
S. S. Rajamouli;/actor/s-s-rajamouli-1/;"Special Appearance in the song ""Etthara Jenda"" (uncredited)";508037;RRR
Emile Hirsch;/actor/emile-hirsch/;Speed Racer;48018;Speed Racer
Christina Ricci;/actor/christina-ricci/;Trixie;48018;Speed Racer
John Goodman;/actor/john-goodman/;Pops Racer;48018;Speed Racer
Susan Sarandon;/actor/susan-sarandon/;Mom Racer;48018;Speed Racer
Matthew Fox;/actor/matthew-fox/;Racer X;48018;Speed Racer
Benno Fürmann;/actor/benno-furmann/;Inspector Detector;48018;Speed Racer
Hiroyuki Sanada;/actor/hiroyuki-sanada/;Mr. Musha;48018;Speed Racer
Rain;/actor/rain/;Taejo Togokahn;48018;Speed Racer
Richard Roundtree;/actor/richard-roundtree/;Ben Burns;48018;Speed Racer
Karl Yune;/actor/karl-yune/;Taejo Body Guard;48018;Speed Racer
Ariel Winter;/actor/ariel-winter/;Young Trixie;48018;Speed Racer
Roger Allam;/actor/roger-allam/;Royalton;48018;Speed Racer
Paulie Litt;/actor/paulie-litt/;Spritle Racer;48018;Speed Racer
Kick Gurry;/actor/kick-gurry/;Sparky;48018;Speed Racer
John Benfield;/actor/john-benfield/;Cruncher Block;48018;Speed Racer
Christian Oliver;/actor/christian-oliver/;Snake Oiler;48018;Speed Racer
Ralph Herforth;/actor/ralph-herforth/;Cannonball Taylor;48018;Speed Racer
Scott Porter;/actor/scott-porter/;Rex Racer;48018;Speed Racer
Yu Nan;/actor/yu-nan-1/;Horuko Togokahn;48018;Speed Racer
Nayo Wallace;/actor/nayo-wallace/;Minx;48018;Speed Racer
Melvil Poupaud;/actor/melvil-poupaud/;"Johnny ""Goodboy"" Jones";48018;Speed Racer
Ramon Tikaram;/actor/ramon-tikaram/;Casa Christo Announcer;48018;Speed Racer
Ben Miles;/actor/ben-miles/;Cass Jones;48018;Speed Racer
Peter Fernandez;/actor/peter-fernandez/;Local Announcer;48018;Speed Racer
Cosma Shiva Hagen;/actor/cosma-shiva-hagen/;Gennie;48018;Speed Racer
Moritz Bleibtreu;/actor/moritz-bleibtreu-1/;Grey Ghost;48018;Speed Racer
Joon Park;/actor/joon-park/;Yakuza Driver;48018;Speed Racer
Nicholas Elia;/actor/nicholas-elia/;Young Speed Racer;48018;Speed Racer
Melissa Holroyd;/actor/melissa-holroyd/;Speed's Teacher;48018;Speed Racer
Gian Ganziano;/actor/gian-ganziano/;Everyman Announcer;48018;Speed Racer
Harvey Friedman;/actor/harvey-friedman/;Harold Ledermann Announcer;48018;Speed Racer
Sadao Ueda;/actor/sadao-ueda/;Japanese Announcer;48018;Speed Racer
Valery Tscheplanowa;/actor/valery-tscheplanowa/;Russian Announcer;48018;Speed Racer
Sami Loris;/actor/sami-loris/;Italian Announcer;48018;Speed Racer
Olivier Marlo;/actor/olivier-marlo/;French Announcer;48018;Speed Racer
