letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;letterboxd_url;imdb_url;tmdb_url;tmdb_id;release_year;duration;avg_rating
41672;Killer Klowns from Outer Space;Killer Klowns from Outer Space (1988);killer-klowns-from-outer-space;https://letterboxd.com/film/killer-klowns-from-outer-space/;http://www.imdb.com/title/tt0095444/maindetails;https://www.themoviedb.org/movie/16296;16296;1988;86;3.37
44960;The 36th Chamber of Shaolin;The 36th Chamber of Shaolin (1978);the-36th-chamber-of-shaolin;https://letterboxd.com/film/the-36th-chamber-of-shaolin/;http://www.imdb.com/title/tt0078243/maindetails;https://www.themoviedb.org/movie/11841;11841;1978;116;4.05
45270;The Warriors;The Warriors (1979);the-warriors;https://letterboxd.com/film/the-warriors/;http://www.imdb.com/title/tt0080120/maindetails;https://www.themoviedb.org/movie/11474;11474;1979;94;3.85
598882;The Banshees of Inisherin;The Banshees of Inisherin (2022);the-banshees-of-inisherin;https://letterboxd.com/film/the-banshees-of-inisherin/;http://www.imdb.com/title/tt11813216/maindetails;https://www.themoviedb.org/movie/674324;674324;2022;114;4.11
45104;Masters of the Universe;Masters of the Universe (1987);masters-of-the-universe;https://letterboxd.com/film/masters-of-the-universe/;http://www.imdb.com/title/tt0093507/maindetails;https://www.themoviedb.org/movie/11649;11649;1987;106;2.51
44952;Invasion of the Body Snatchers;Invasion of the Body Snatchers (1978);invasion-of-the-body-snatchers-1978;https://letterboxd.com/film/invasion-of-the-body-snatchers-1978/;http://www.imdb.com/title/tt0077745/maindetails;https://www.themoviedb.org/movie/11850;11850;1978;116;3.94
45260;Rollerball;Rollerball (1975);rollerball;https://letterboxd.com/film/rollerball/;http://www.imdb.com/title/tt0073631/maindetails;https://www.themoviedb.org/movie/11484;11484;1975;125;3.27
31606;Bloodmoon;Bloodmoon (1997);bloodmoon;https://letterboxd.com/film/bloodmoon/;http://www.imdb.com/title/tt0118745/maindetails;https://www.themoviedb.org/movie/30948;30948;1997;102;3.40
51386;Army of Darkness;Army of Darkness (1992);army-of-darkness;https://letterboxd.com/film/army-of-darkness/;http://www.imdb.com/title/tt0106308/maindetails;https://www.themoviedb.org/movie/766;766;1992;81;3.72
51483;Requiem for a Dream;Requiem for a Dream (2000);requiem-for-a-dream;https://letterboxd.com/film/requiem-for-a-dream/;http://www.imdb.com/title/tt0180093/maindetails;https://www.themoviedb.org/movie/641;641;2000;102;4.10
276291;The Meg;The Meg (2018);the-meg;https://letterboxd.com/film/the-meg/;http://www.imdb.com/title/tt4779682/maindetails;https://www.themoviedb.org/movie/345940;345940;2018;113;2.42
51771;High Noon;High Noon (1952);high-noon;https://letterboxd.com/film/high-noon/;http://www.imdb.com/title/tt0044706/maindetails;https://www.themoviedb.org/movie/288;288;1952;85;3.98
46897;Bubba Ho-tep;Bubba Ho-tep (2002);bubba-ho-tep;https://letterboxd.com/film/bubba-ho-tep/;http://www.imdb.com/title/tt0281686/maindetails;https://www.themoviedb.org/movie/9707;9707;2002;92;3.28
51781;Fargo;Fargo (1996);fargo;https://letterboxd.com/film/fargo/;http://www.imdb.com/title/tt0116282/maindetails;https://www.themoviedb.org/movie/275;275;1996;98;4.16
241920;Shin Godzilla;Shin Godzilla (2016);shin-godzilla;https://letterboxd.com/film/shin-godzilla/;http://www.imdb.com/title/tt4262980/maindetails;https://www.themoviedb.org/movie/315011;315011;2016;120;3.87
43812;Gaslight;Gaslight (1944);gaslight-1944;https://letterboxd.com/film/gaslight-1944/;http://www.imdb.com/title/tt0036855/maindetails;https://www.themoviedb.org/movie/13528;13528;1944;114;4.04
42841;Ip Man;Ip Man (2008);ip-man;https://letterboxd.com/film/ip-man/;http://www.imdb.com/title/tt1220719/maindetails;https://www.themoviedb.org/movie/14756;14756;2008;106;3.95
51708;A Nightmare on Elm Street;A Nightmare on Elm Street (1984);a-nightmare-on-elm-street;https://letterboxd.com/film/a-nightmare-on-elm-street/;http://www.imdb.com/title/tt0087800/maindetails;https://www.themoviedb.org/movie/377;377;1984;91;3.71
92160;Paddington;Paddington (2014);paddington;https://letterboxd.com/film/paddington/;http://www.imdb.com/title/tt1109624/maindetails;https://www.themoviedb.org/movie/116149;116149;2014;95;3.80
277023;Paddington 2;Paddington 2 (2017);paddington-2;https://letterboxd.com/film/paddington-2/;http://www.imdb.com/title/tt4468740/maindetails;https://www.themoviedb.org/movie/346648;346648;2017;104;4.14
45649;Hairspray;Hairspray (1988);hairspray;https://letterboxd.com/film/hairspray/;http://www.imdb.com/title/tt0095270/maindetails;https://www.themoviedb.org/movie/11054;11054;1988;92;3.66
51881;28 Days Later;28 Days Later (2002);28-days-later;https://letterboxd.com/film/28-days-later/;http://www.imdb.com/title/tt0289043/maindetails;https://www.themoviedb.org/movie/170;170;2002;113;3.72
561763;Pig;Pig (2021);pig-2021;https://letterboxd.com/film/pig-2021/;http://www.imdb.com/title/tt11003218/maindetails;https://www.themoviedb.org/movie/635731;635731;2021;92;3.74
51338;An American Werewolf in London;An American Werewolf in London (1981);an-american-werewolf-in-london;https://letterboxd.com/film/an-american-werewolf-in-london/;http://www.imdb.com/title/tt0082010/maindetails;https://www.themoviedb.org/movie/814;814;1981;97;3.83
591053;Past Lives;Past Lives (2023);past-lives;https://letterboxd.com/film/past-lives/;http://www.imdb.com/title/tt13238346/maindetails;https://www.themoviedb.org/movie/666277;666277;2023;106;4.16
47867;Napoleon Dynamite;Napoleon Dynamite (2004);napoleon-dynamite;https://letterboxd.com/film/napoleon-dynamite/;http://www.imdb.com/title/tt0374900/maindetails;https://www.themoviedb.org/movie/8193;8193;2004;95;3.72
371378;Dune;Dune (2021);dune-2021;https://letterboxd.com/film/dune-2021/;http://www.imdb.com/title/tt1160419/maindetails;https://www.themoviedb.org/movie/438631;438631;2021;155;3.88
617443;Dune: Part Two;Dune: Part Two (2024);dune-part-two;https://letterboxd.com/film/dune-part-two/;http://www.imdb.com/title/tt15239678/maindetails;https://www.themoviedb.org/movie/693134;693134;2024;167;4.38
6838;Miami Connection;Miami Connection (1987);miami-connection;https://letterboxd.com/film/miami-connection/;http://www.imdb.com/title/tt0092549/maindetails;https://www.themoviedb.org/movie/59558;59558;1987;87;3.19
575258;Renfield;Renfield (2023);renfield;https://letterboxd.com/film/renfield/;http://www.imdb.com/title/tt11358390/maindetails;https://www.themoviedb.org/movie/649609;649609;2023;93;2.85
14220;The Man from Nowhere;The Man from Nowhere (2010);the-man-from-nowhere;https://letterboxd.com/film/the-man-from-nowhere/;http://www.imdb.com/title/tt1527788/maindetails;https://www.themoviedb.org/movie/51608;51608;2010;119;3.87
333448;Isle of Dogs;Isle of Dogs (2018);isle-of-dogs-2018;https://letterboxd.com/film/isle-of-dogs-2018/;http://www.imdb.com/title/tt5104604/maindetails;https://www.themoviedb.org/movie/399174;399174;2018;101;4.06
78266;The Raid;The Raid (2011);the-raid-2011;https://letterboxd.com/film/the-raid-2011/;http://www.imdb.com/title/tt1899353/maindetails;https://www.themoviedb.org/movie/94329;94329;2011;101;4.03
51495;The Usual Suspects;The Usual Suspects (1995);the-usual-suspects;https://letterboxd.com/film/the-usual-suspects/;http://www.imdb.com/title/tt0114814/maindetails;https://www.themoviedb.org/movie/629;629;1995;106;4.07
50089;Pitch Black;Pitch Black (2000);pitch-black;https://letterboxd.com/film/pitch-black/;http://www.imdb.com/title/tt0134847/maindetails;https://www.themoviedb.org/movie/2787;2787;2000;108;3.31
35616;Hard Ticket to Hawaii;Hard Ticket to Hawaii (1987);hard-ticket-to-hawaii;https://letterboxd.com/film/hard-ticket-to-hawaii/;http://www.imdb.com/title/tt0093146/maindetails;https://www.themoviedb.org/movie/26011;26011;1987;96;3.08
680358;X;X (2022);x-2022;https://letterboxd.com/film/x-2022/;http://www.imdb.com/title/tt13560574/maindetails;https://www.themoviedb.org/movie/760104;760104;2022;106;3.40
853822;Pearl;Pearl (2022);pearl-2022;https://letterboxd.com/film/pearl-2022/;http://www.imdb.com/title/tt18925334/maindetails;https://www.themoviedb.org/movie/949423;949423;2022;102;3.70
922858;MaXXXine;MaXXXine (2024);maxxxine;https://letterboxd.com/film/maxxxine/;http://www.imdb.com/title/tt22048412/maindetails;https://www.themoviedb.org/movie/1023922;1023922;2024;103;3.08
