film_id;film_title;value
488751;Monkey Man;Intense combat and martial arts
488751;Monkey Man;Violent action, guns, and crime
488751;Monkey Man;Explosive and action-packed heroes vs. villains
488751;Monkey Man;Brutal, violent prison drama
488751;Monkey Man;Violent crime and drugs
27730;Blade;Action
27730;Blade;Horror
27730;Blade;Epic heroes
27730;Blade;Horror, the undead and monster classics
27730;Blade;Bloody vampire horror
27730;Blade;Superheroes in action-packed battles with villains
27730;Blade;Intense combat and martial arts
27730;Blade;Fantasy adventure, heroism, and swordplay
27730;Blade;Creepy, chilling, and terrifying horror
43569;Repo Man;Comedy
43569;Repo Man;Science Fiction
43569;Repo Man;Crude humor and satire
43569;Repo Man;Gags, jokes, and slapstick humor
43569;Repo Man;Teen school antics and laughter
43569;Repo Man;Funny jokes and crude humor
43569;Repo Man;Action comedy and silly heroics
43569;Repo Man;Catchy songs and hilarious musical comedy
50851;Re-Animator;Comedy
50851;Re-Animator;Horror
50851;Re-Animator;Science Fiction
50851;Re-Animator;Horror, the undead and monster classics
50851;Re-Animator;Crude humor and satire
50851;Re-Animator;Intense violence and sexual transgression
50851;Re-Animator;Gory, gruesome, and slasher horror
50851;Re-Animator;Chilling experiments and classic monster horror
50851;Re-Animator;Challenging or sexual themes & twists
50851;Re-Animator;Creepy, chilling, and terrifying horror
50851;Re-Animator;Extreme gory horror and cannibalism
223818;Dude Bro Party Massacre III;Comedy
47171;The Fly;Science Fiction
47171;The Fly;Horror
47171;The Fly;Horror, the undead and monster classics
47171;The Fly;Intense violence and sexual transgression
47171;The Fly;Moving relationship stories
47171;The Fly;Chilling experiments and classic monster horror
47171;The Fly;Gory, gruesome, and slasher horror
47171;The Fly;Sci-fi horror, creatures, and aliens
47171;The Fly;Terrifying, haunted, and supernatural horror
47171;The Fly;Twisted dark psychological thriller
890105;Humanist Vampire Seeking Consenting Suicidal Person;Romance
890105;Humanist Vampire Seeking Consenting Suicidal Person;Comedy
890105;Humanist Vampire Seeking Consenting Suicidal Person;Fantasy
51471;Nosferatu;Horror
51471;Nosferatu;Horror, the undead and monster classics
51471;Nosferatu;Creepy, chilling, and terrifying horror
51471;Nosferatu;Terrifying, haunted, and supernatural horror
51471;Nosferatu;Gothic and eerie haunting horror
51471;Nosferatu;Bloody vampire horror
51471;Nosferatu;Chilling experiments and classic monster horror
45489;Fallen Angels;Crime
45489;Fallen Angels;Romance
45489;Fallen Angels;Action
45489;Fallen Angels;Humanity and the world around us
45489;Fallen Angels;Surreal and thought-provoking visions of life and death
45489;Fallen Angels;Captivating relationships and charming romance
45489;Fallen Angels;Touching and sentimental family stories
45489;Fallen Angels;Dreamlike, quirky, and surreal storytelling
45489;Fallen Angels;Tragic sadness and captivating beauty
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Comedy
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;War
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Crude humor and satire
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;War and historical adventure
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Politics and human rights
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Amusing jokes and witty satire
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Gags, jokes, and slapstick humor
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Dangerous technology and the apocalypse
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Riveting political and presidential drama
51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;Bravery in War
34848;Meshes of the Afternoon;Fantasy
51494;The Wizard of Oz;Adventure
51494;The Wizard of Oz;Family
51494;The Wizard of Oz;Fantasy
51494;The Wizard of Oz;Song and dance
51494;The Wizard of Oz;Fairy-tale fantasy and enchanted magic
51494;The Wizard of Oz;Dazzling vocal performances and musicals
51494;The Wizard of Oz;Emotional and captivating fantasy storytelling
51494;The Wizard of Oz;Adorable animals and heartwarming families
51494;The Wizard of Oz;Holiday joy and heartwarming Christmas
51230;Dawn of the Dead;Horror
51230;Dawn of the Dead;Horror, the undead and monster classics
51230;Dawn of the Dead;Intense violence and sexual transgression
51230;Dawn of the Dead;Survival horror and zombie carnage
51230;Dawn of the Dead;Gory, gruesome, and slasher horror
51230;Dawn of the Dead;Sci-fi horror, creatures, and aliens
51230;Dawn of the Dead;Terrifying, haunted, and supernatural horror
51230;Dawn of the Dead;Extreme gory horror and cannibalism
97190;The Company of Strangers;Drama
43921;Tokyo Godfathers;Drama
43921;Tokyo Godfathers;Comedy
43921;Tokyo Godfathers;Animation
43921;Tokyo Godfathers;Moving relationship stories
43921;Tokyo Godfathers;Emotional and captivating fantasy storytelling
43921;Tokyo Godfathers;Holiday joy and heartwarming Christmas
43921;Tokyo Godfathers;Touching and sentimental family stories
43921;Tokyo Godfathers;Powerful stories of heartbreak and suffering
43921;Tokyo Godfathers;Heartbreaking and moving family drama
48894;Kiss Kiss Bang Bang;Crime
48894;Kiss Kiss Bang Bang;Mystery
48894;Kiss Kiss Bang Bang;Comedy
48894;Kiss Kiss Bang Bang;Crude humor and satire
48894;Kiss Kiss Bang Bang;Thrillers and murder mysteries
48894;Kiss Kiss Bang Bang;Gags, jokes, and slapstick humor
48894;Kiss Kiss Bang Bang;Amusing jokes and witty satire
48894;Kiss Kiss Bang Bang;Action comedy and silly heroics
48894;Kiss Kiss Bang Bang;Noir and dark crime dramas
48894;Kiss Kiss Bang Bang;Spooky, scary comedy
