key;value;link;film_id;film_title
studio;American Empirical Pictures;/studio/american-empirical-pictures/;333448;Isle of Dogs
studio;Indian Paintbrush;/studio/indian-paintbrush/;333448;Isle of Dogs
studio;Scott Rudin Productions;/studio/scott-rudin-productions/;333448;Isle of Dogs
country;USA;/films/country/usa/;333448;Isle of Dogs
country;Germany;/films/country/germany/;333448;Isle of Dogs
language;English;/films/language/english/;333448;Isle of Dogs
language;English;/films/language/english/;333448;Isle of Dogs
language;Japanese;/films/language/japanese/;333448;Isle of Dogs
studio;Celluloid Dreams;/studio/celluloid-dreams/;78266;The Raid
studio;PT. Merantau Films;/studio/pt-merantau-films/;78266;The Raid
studio;XYZ Films;/studio/xyz-films/;78266;The Raid
country;Indonesia;/films/country/indonesia/;78266;The Raid
country;France;/films/country/france/;78266;The Raid
country;USA;/films/country/usa/;78266;The Raid
language;Indonesian;/films/language/indonesian/;78266;The Raid
studio;Bad Hat Harry Productions;/studio/bad-hat-harry-productions/;51495;The Usual Suspects
studio;Blue Parrot Productions;/studio/blue-parrot-productions/;51495;The Usual Suspects
country;USA;/films/country/usa/;51495;The Usual Suspects
language;English;/films/language/english/;51495;The Usual Suspects
language;Spanish;/films/language/spanish/;51495;The Usual Suspects
language;English;/films/language/english/;51495;The Usual Suspects
language;French;/films/language/french/;51495;The Usual Suspects
language;Hungarian;/films/language/hungarian/;51495;The Usual Suspects
studio;Interscope Communications;/studio/interscope-communications/;50089;Pitch Black
country;USA;/films/country/usa/;50089;Pitch Black
language;English;/films/language/english/;50089;Pitch Black
language;Arabic;/films/language/arabic/;50089;Pitch Black
language;English;/films/language/english/;50089;Pitch Black
studio;Malibu Bay Films;/studio/malibu-bay-films/;35616;Hard Ticket to Hawaii
country;USA;/films/country/usa/;35616;Hard Ticket to Hawaii
language;English;/films/language/english/;35616;Hard Ticket to Hawaii
studio;A24;/studio/a24/;680358;X
studio;Little Lamb Productions;/studio/little-lamb-productions/;680358;X
country;USA;/films/country/usa/;680358;X
language;English;/films/language/english/;680358;X
studio;A24;/studio/a24/;853822;Pearl
studio;Little Lamb Productions;/studio/little-lamb-productions/;853822;Pearl
country;USA;/films/country/usa/;853822;Pearl
language;English;/films/language/english/;853822;Pearl
language;English;/films/language/english/;853822;Pearl
language;German;/films/language/german/;853822;Pearl
studio;A24;/studio/a24/;922858;MaXXXine
studio;Motel Mojave;/studio/motel-mojave/;922858;MaXXXine
